Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2014-2015,Nikolai Kulemin,New York Islanders,82,1023:23:00,11,13,6,24,101,145,185,10.89,0.64,0.76,0.35,1.41,5.92,8.5,10.85,30.6,36.1,66.7,0,0
2013-2014,Nikolai Kulemin,Toronto,70,919:21:00,9,9,5,18,77,108,141,11.69,0.59,0.59,0.33,1.17,5.03,7.05,9.2,32.1,32.1,64.3,0,0
2012-2013,Nikolai Kulemin,Toronto,48,646:04:00,6,13,8,19,60,87,108,10,0.56,1.21,0.74,1.76,5.57,8.08,10.03,20,43.3,63.3,0,0
2011-2012,Nikolai Kulemin,Toronto,70,887:50:00,5,15,5,20,91,160,204,5.49,0.34,1.01,0.34,1.35,6.15,10.81,13.79,13.5,40.5,54.1,0,0
2010-2011,Nikolai Kulemin,Toronto,82,1072:51:00,24,17,4,41,133,181,238,18.05,1.34,0.95,0.22,2.29,7.44,10.12,13.31,44.4,31.5,75.9,0,0
2010-2011,Nikolai Zherdev,Philadelphia,56,640:10:00,14,4,2,18,120,147,193,11.67,1.31,0.37,0.19,1.69,11.25,13.78,18.09,53.8,15.4,69.2,0,0
2015-2016,Nikolay Kulemin,New York Islanders,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Nino Niederreiter,Minnesota,80,975:07:00,14,10,5,24,120,174,221,11.67,0.86,0.62,0.31,1.48,7.38,10.71,13.6,36.8,26.3,63.2,0,0
2013-2014,Nino Niederreiter,Minnesota,81,1007:57:00,11,15,9,26,123,166,198,8.94,0.65,0.89,0.54,1.55,7.32,9.88,11.79,28.2,38.5,66.7,0,0
2011-2012,Nino Niederreiter,New York Islanders,55,532:43:00,1,0,0,1,72,95,116,1.39,0.11,0,0,0.11,8.11,10.7,13.07,50,0,50,0,0
2010-2011,Nino Niederreiter,New York Islanders,9,112:34:00,1,1,1,2,9,12,16,11.11,0.53,0.53,0.53,1.07,4.8,6.4,8.53,50,50,100,0,0
2015-2016,Nino Niederreiter,Minnesota,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Nolan Yonkman,Florida,7,65:59:00,0,0,0,0,4,8,8,0,0,0,0,0,3.64,7.27,7.27,0,0,0,0,0
2010-2011,Nolan Yonkman,Arizona,16,156:15:00,0,1,1,1,8,9,13,0,0,0.38,0.38,0.38,3.07,3.46,4.99,0,11.1,11.1,0,0
2014-2015,Oliver Ekman-Larsson,Arizona,82,1435:35:00,10,9,6,19,142,216,316,7.04,0.42,0.38,0.25,0.79,5.93,9.03,13.21,22.2,20,42.2,0,0
2013-2014,Oliver Ekman-Larsson,Arizona,80,1402:42:00,5,14,6,19,110,148,230,4.55,0.21,0.6,0.26,0.81,4.71,6.33,9.84,11.6,32.6,44.2,0,0
2012-2013,Oliver Ekman-Larsson,Arizona,48,816:55:00,3,11,5,14,61,85,130,4.92,0.22,0.81,0.37,1.03,4.48,6.24,9.55,9.1,33.3,42.4,0,0
2011-2012,Oliver Ekman-Larsson,Arizona,82,1426:49:00,10,12,4,22,106,158,248,9.43,0.42,0.5,0.17,0.93,4.46,6.64,10.43,18.9,22.6,41.5,0,0
2010-2011,Oliver Ekman-Larsson,Arizona,48,608:34:00,1,8,4,9,39,59,94,2.56,0.1,0.79,0.39,0.89,3.85,5.82,9.27,3.4,27.6,31,0,0
2015-2016,Oliver Ekman-Larsson,Arizona,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Oliver Lauridsen,Philadelphia,15,206:53:00,2,1,1,3,15,21,29,13.33,0.58,0.29,0.29,0.87,4.35,6.09,8.41,16.7,8.3,25,0,0
2010-2011,Olivier Magnan,New Jersey,18,237:09:00,0,0,0,0,7,13,19,0,0,0,0,0,1.77,3.29,4.81,0,0,0,0,0
2014-2015,Olli Jokinen,St. Louis,62,699:02:00,4,5,5,9,101,134,166,3.96,0.34,0.43,0.43,0.77,8.67,11.5,14.25,25,31.2,56.2,0,0
2013-2014,Olli Jokinen,Winnipeg,82,1133:20:00,16,15,11,31,141,184,235,11.35,0.85,0.79,0.58,1.64,7.46,9.74,12.44,40,37.5,77.5,0,0
2012-2013,Olli Jokinen,Winnipeg,45,634:21:00,5,4,1,9,60,94,123,8.33,0.47,0.38,0.09,0.85,5.68,8.89,11.63,29.4,23.5,52.9,0,0
2011-2012,Olli Jokinen,Calgary,82,1164:46:00,10,19,12,29,148,184,232,6.76,0.52,0.98,0.62,1.49,7.62,9.48,11.95,19.6,37.3,56.9,0,0
2010-2011,Olli Jokinen,Calgary,79,1068:14:00,12,19,9,31,149,201,257,8.05,0.67,1.07,0.51,1.74,8.37,11.29,14.44,32.4,51.4,83.8,0,0
2014-2015,Olli Maatta,Pittsburgh,20,321:01:00,1,6,4,7,18,27,42,5.56,0.19,1.12,0.75,1.31,3.36,5.05,7.85,6.7,40,46.7,0,0
2013-2014,Olli Maatta,Pittsburgh,78,1193:43:00,5,15,8,20,91,127,183,5.49,0.25,0.75,0.4,1.01,4.57,6.38,9.2,10.2,30.6,40.8,0,0
2015-2016,Olli Maatta,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Ondrej Palat,Tampa Bay,75,928:08:00,9,36,18,45,108,153,210,8.33,0.58,2.33,1.16,2.91,6.98,9.89,13.58,14.5,58.1,72.6,0,0
2013-2014,Ondrej Palat,Tampa Bay,81,1100:08:00,15,24,17,39,126,176,223,11.9,0.82,1.31,0.93,2.13,6.87,9.6,12.16,27.3,43.6,70.9,0,0
2012-2013,Ondrej Palat,Tampa Bay,14,147:17:00,2,2,0,4,15,21,25,13.33,0.81,0.81,0,1.63,6.11,8.55,10.18,25,25,50,0,0
2015-2016,Ondrej Palat,Tampa Bay,,,,,,,,,,,,,,,,,,,,,,
2015-2016,Ondrej Pavelec,Winnipeg,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Ondrej Pavelec,Winnipeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,
2013-2014,Ondrej Pavelec,Winnipeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901,
2012-2013,Ondrej Pavelec,Winnipeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905,
2011-2012,Ondrej Pavelec,Winnipeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906,
2010-2011,Ondrej Pavelec,Calgary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,
2014-2015,Oscar Klefbom,Edmonton,60,1127:17:00,2,14,4,16,85,131,193,2.35,0.11,0.75,0.21,0.85,4.52,6.97,10.27,5.1,35.9,41,0,0
2013-2014,Oscar Klefbom,Edmonton,17,243:46:00,1,2,1,3,12,17,27,8.33,0.25,0.49,0.25,0.74,2.95,4.18,6.65,12.5,25,37.5,0,0
2015-2016,Oscar Klefbom,Edmonton,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Oscar Moller,Los Angeles,13,155:32:00,1,3,2,4,17,21,34,5.88,0.39,1.16,0.77,1.54,6.56,8.1,13.12,20,60,80,0,0
2010-2011,Oskars Bartulis,Philadelphia,13,161:06:00,0,0,0,0,7,11,19,0,0,0,0,0,2.61,4.1,7.08,0,0,0,0,0
2014-2015,P.K. Subban,Montreal,82,1541:58:00,7,24,10,31,87,141,233,8.05,0.27,0.93,0.39,1.21,3.39,5.49,9.07,10.1,34.8,44.9,0,0
2013-2014,P.K. Subban,Montreal,82,1477:46:00,4,18,9,22,89,120,191,4.49,0.16,0.73,0.37,0.89,3.61,4.87,7.75,7.1,32.1,39.3,0,0
2012-2013,P.K. Subban,Montreal,42,677:10:00,4,7,5,11,61,82,122,6.56,0.35,0.62,0.44,0.97,5.4,7.27,10.81,11.4,20,31.4,0,0
2011-2012,P.K. Subban,Montreal,81,1370:34:00,1,17,9,18,101,142,201,0.99,0.04,0.74,0.39,0.79,4.42,6.22,8.8,1.6,27.9,29.5,0,0
2010-2011,P.K. Subban,Montreal,77,1218:11:00,4,13,5,17,118,163,238,3.39,0.2,0.64,0.25,0.84,5.81,8.03,11.72,9.3,30.2,39.5,0,0
2015-2016,P.K. Subban,Montreal,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Pascal Dupuis,Pittsburgh,16,197:32:00,4,3,1,7,34,41,51,11.76,1.22,0.91,0.3,2.13,10.33,12.45,15.49,40,30,70,0,0
2013-2014,Pascal Dupuis,Pittsburgh,39,578:19:00,7,13,11,20,89,120,147,7.87,0.73,1.35,1.14,2.08,9.23,12.45,15.25,24.1,44.8,69,0,0
2012-2013,Pascal Dupuis,Pittsburgh,48,678:17:00,14,16,5,30,121,172,221,11.57,1.24,1.42,0.44,2.65,10.7,15.21,19.55,28.6,32.7,61.2,0,0
2011-2012,Pascal Dupuis,Pittsburgh,82,1114:01:00,21,30,16,51,177,243,322,11.86,1.13,1.62,0.86,2.75,9.53,13.09,17.34,35.6,50.8,86.4,0,0
2010-2011,Pascal Dupuis,Pittsburgh,81,1071:42:00,12,16,9,28,145,195,241,8.28,0.67,0.9,0.5,1.57,8.12,10.92,13.49,26.1,34.8,60.9,0,0
2015-2016,Pascal Dupuis,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Pascal Leclaire,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,
2014-2015,Patric Hornqvist,Pittsburgh,64,861:56:00,15,16,9,31,147,201,265,10.2,1.04,1.11,0.63,2.16,10.23,13.99,18.45,30.6,32.7,63.3,0,0
2013-2014,Patric Hornqvist,Nashville,76,1025:32:00,15,20,14,35,201,268,320,7.46,0.88,1.17,0.82,2.05,11.76,15.68,18.72,29.4,39.2,68.6,0,0
2012-2013,Patric Hornqvist,Nashville,24,311:16:00,0,6,3,6,57,73,89,0,0,1.16,0.58,1.16,10.99,14.07,17.16,0,66.7,66.7,0,0
2011-2012,Patric Hornqvist,Nashville,76,946:17:00,16,14,7,30,184,237,281,8.7,1.01,0.89,0.44,1.9,11.67,15.03,17.82,41,35.9,76.9,0,0
2010-2011,Patric Hornqvist,Nashville,79,1005:13:00,15,17,11,32,209,258,311,7.18,0.9,1.01,0.66,1.91,12.47,15.4,18.56,33.3,37.8,71.1,0,0
2015-2016,Patric Hornqvist,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrice Bergeron,Boston,81,1048:10:00,16,18,12,34,170,218,285,9.41,0.92,1.03,0.69,1.95,9.73,12.48,16.31,39,43.9,82.9,0,0
2013-2014,Patrice Bergeron,Boston,80,1059:06:00,19,21,12,40,174,249,322,10.92,1.08,1.19,0.68,2.27,9.86,14.11,18.24,33.9,37.5,71.4,0,0
2012-2013,Patrice Bergeron,Boston,42,586:43:00,6,15,7,21,92,131,160,6.52,0.61,1.53,0.72,2.15,9.41,13.4,16.36,21.4,53.6,75,0,0
2011-2012,Patrice Bergeron,Boston,81,1079:06:00,14,29,21,43,139,206,271,10.07,0.78,1.61,1.17,2.39,7.73,11.45,15.07,24.1,50,74.1,0,0
2010-2011,Patrice Bergeron,Boston,80,994:06:00,15,21,13,36,148,192,249,10.14,0.91,1.27,0.78,2.17,8.93,11.59,15.03,28.8,40.4,69.2,0,1
2015-2016,Patrice Bergeron,Boston,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Patrice Cormier,Winnipeg,9,61:08:00,0,3,1,3,4,4,8,0,0,2.94,0.98,2.94,3.93,3.93,7.85,0,150,150,0,0
2011-2012,Patrice Cormier,Winnipeg,9,57:17:00,0,0,0,0,8,9,13,0,0,0,0,0,8.38,9.43,13.62,0,0,0,0,0
2010-2011,Patrice Cormier,Winnipeg,21,194:34:00,1,1,1,2,27,37,38,3.7,0.31,0.31,0.31,0.62,8.33,11.41,11.72,33.3,33.3,66.7,0,0
2013-2014,Patrick Bordeleau,Colorado,82,560:01:00,6,5,3,11,37,50,64,16.22,0.64,0.54,0.32,1.18,3.96,5.36,6.86,42.9,35.7,78.6,0,0
2012-2013,Patrick Bordeleau,Colorado,46,283:06:00,2,3,1,5,24,33,40,8.33,0.42,0.64,0.21,1.06,5.09,6.99,8.48,25,37.5,62.5,0,0
2015-2016,Patrick Bordeleau,Colorado,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrick Brown,Carolina,7,51:03:00,0,0,0,0,4,5,7,0,0,0,0,0,4.7,5.88,8.23,0,0,0,0,0
2014-2015,Patrick Dwyer,Carolina,71,733:03:00,5,6,3,11,70,95,122,7.14,0.41,0.49,0.25,0.9,5.73,7.78,9.99,29.4,35.3,64.7,0,0
2013-2014,Patrick Dwyer,Carolina,75,925:12:00,6,13,7,19,125,174,211,4.8,0.39,0.84,0.45,1.23,8.11,11.28,13.68,28.6,61.9,90.5,0,0
2012-2013,Patrick Dwyer,Carolina,46,580:52:00,5,8,6,13,81,115,151,6.17,0.52,0.83,0.62,1.34,8.37,11.88,15.6,21.7,34.8,56.5,0,0
2011-2012,Patrick Dwyer,Carolina,73,921:42:00,3,5,3,8,101,145,186,2.97,0.2,0.33,0.2,0.52,6.57,9.44,12.11,15.8,26.3,42.1,0,0
2010-2011,Patrick Dwyer,Carolina,79,807:24:00,7,9,5,16,87,122,159,8.05,0.52,0.67,0.37,1.19,6.47,9.07,11.82,29.2,37.5,66.7,0,0
2014-2015,Patrick Eaves,Dallas,47,529:30:00,7,10,6,17,70,111,145,10,0.79,1.13,0.68,1.93,7.93,12.58,16.43,23.3,33.3,56.7,0,0
2013-2014,Patrick Eaves,Nashville,30,270:58:00,1,1,0,2,45,63,78,2.22,0.22,0.22,0,0.44,9.96,13.95,17.27,16.7,16.7,33.3,0,0
2012-2013,Patrick Eaves,Detroit,34,318:32:00,2,5,3,7,41,60,74,4.88,0.38,0.94,0.57,1.32,7.72,11.3,13.94,20,50,70,0,0
2011-2012,Patrick Eaves,Detroit,10,84:28:00,0,1,1,1,23,26,33,0,0,0.71,0.71,0.71,16.34,18.47,23.44,0,33.3,33.3,0,0
2010-2011,Patrick Eaves,Detroit,63,606:12:00,8,7,6,15,94,140,184,8.51,0.79,0.69,0.59,1.48,9.3,13.86,18.21,33.3,29.2,62.5,0,0
2015-2016,Patrick Eaves,Dallas,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrick Kaleta,Buffalo,42,317:28:00,0,2,1,2,25,30,40,0,0,0.38,0.19,0.38,4.72,5.67,7.56,0,66.7,66.7,0,0
2012-2013,Patrick Kaleta,Buffalo,34,282:33:00,1,1,1,2,30,35,44,3.33,0.21,0.21,0.21,0.42,6.37,7.43,9.34,25,25,50,0,0
2011-2012,Patrick Kaleta,Buffalo,63,688:30:00,4,5,3,9,65,95,124,6.15,0.35,0.44,0.26,0.78,5.66,8.28,10.81,26.7,33.3,60,0,0
2010-2011,Patrick Kaleta,Buffalo,51,476:25:00,3,4,3,7,58,68,85,5.17,0.38,0.5,0.38,0.88,7.3,8.56,10.7,21.4,28.6,50,0,0
2014-2015,Patrick Kane,Chicago,61,908:30:00,19,14,11,33,124,166,220,15.32,1.25,0.92,0.73,2.18,8.19,10.96,14.53,43.2,31.8,75,0,1
2013-2014,Patrick Kane,Chicago,69,1061:30:00,18,23,17,41,164,225,291,10.98,1.02,1.3,0.96,2.32,9.27,12.72,16.45,34,43.4,77.4,0,0
2012-2013,Patrick Kane,Chicago,47,743:40:00,11,19,15,30,96,133,168,11.46,0.89,1.53,1.21,2.42,7.75,10.73,13.55,27.5,47.5,75,0,1
2011-2012,Patrick Kane,Chicago,82,1284:32:00,16,33,24,49,192,254,335,8.33,0.75,1.54,1.12,2.29,8.97,11.86,15.65,25,51.6,76.6,0,0
2010-2011,Patrick Kane,Chicago,73,1099:43:00,21,26,11,47,163,214,281,12.88,1.15,1.42,0.6,2.56,8.89,11.68,15.33,35,43.3,78.3,0,0
2015-2016,Patrick Kane,Chicago,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Patrick Lalime,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,
2014-2015,Patrick Marleau,San Jose,82,1135:50:00,8,19,11,27,138,179,242,5.8,0.42,1,0.58,1.43,7.29,9.46,12.78,19.5,46.3,65.9,0,0
2013-2014,Patrick Marleau,San Jose,82,1156:54:00,15,23,15,38,172,244,300,8.72,0.78,1.19,0.78,1.97,8.92,12.65,15.56,28.3,43.4,71.7,0,0
2012-2013,Patrick Marleau,San Jose,48,642:10:00,10,6,1,16,99,130,157,10.1,0.93,0.56,0.09,1.49,9.25,12.15,14.67,40,24,64,0,0
2011-2012,Patrick Marleau,San Jose,82,1204:43:00,16,17,9,33,156,212,263,10.26,0.8,0.85,0.45,1.64,7.77,10.56,13.1,29.1,30.9,60,0,0
2010-2011,Patrick Marleau,San Jose,82,1187:19:00,18,18,8,36,169,226,290,10.65,0.91,0.91,0.4,1.82,8.54,11.42,14.65,35.3,35.3,70.6,0,0
2015-2016,Patrick Marleau,San Jose,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrick Maroon,Anaheim,71,838:44:00,7,18,14,25,100,142,159,7,0.5,1.29,1,1.79,7.15,10.16,11.37,18.4,47.4,65.8,0,0
2013-2014,Patrick Maroon,Anaheim,62,643:01:00,10,15,10,25,82,110,140,12.2,0.93,1.4,0.93,2.33,7.65,10.26,13.06,28.6,42.9,71.4,0,0
2012-2013,Patrick Maroon,Anaheim,13,119:45:00,2,1,1,3,20,29,30,10,1,0.5,0.5,1.5,10.02,14.53,15.03,50,25,75,0,0
2015-2016,Patrick Maroon,Anaheim,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Patrick O_Sullivan,Arizona,23,204:41:00,2,1,1,3,25,34,43,8,0.59,0.29,0.29,0.88,7.33,9.97,12.6,40,20,60,0,0
2010-2011,Patrick O_Sullivan,Minnesota,31,315:51:00,2,3,3,5,40,63,77,5,0.38,0.57,0.57,0.95,7.6,11.97,14.63,20,30,50,0,0
2010-2011,Patrick Rissmiller,Florida,10,100:49:00,0,1,1,1,14,21,24,0,0,0.6,0.6,0.6,8.33,12.5,14.28,0,50,50,0,0
2014-2015,Patrick Sharp,Chicago,68,895:03:00,7,20,10,27,164,215,279,4.27,0.47,1.34,0.67,1.81,10.99,14.41,18.7,17.9,51.3,69.2,0,1
2013-2014,Patrick Sharp,Chicago,82,1225:48:00,22,26,16,48,221,287,383,9.95,1.08,1.27,0.78,2.35,10.82,14.05,18.75,32.4,38.2,70.6,0,0
2012-2013,Patrick Sharp,Chicago,28,388:05:00,4,7,5,11,59,82,112,6.78,0.62,1.08,0.77,1.7,9.12,12.68,17.32,23.5,41.2,64.7,0,1
2011-2012,Patrick Sharp,Chicago,74,1063:18:00,23,22,11,45,211,272,344,10.9,1.3,1.24,0.62,2.54,11.91,15.35,19.41,35.9,34.4,70.3,0,0
2010-2011,Patrick Sharp,Chicago,74,1038:54:00,18,21,12,39,181,239,303,9.94,1.04,1.21,0.69,2.25,10.45,13.8,17.5,39.1,45.7,84.8,0,0
2015-2016,Patrick Sharp,Dallas,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Patrick Wey,Washington,9,118:59:00,0,3,1,3,5,6,15,0,0,1.51,0.5,1.51,2.52,3.03,7.56,0,60,60,0,0
2014-2015,Patrick Wiercioch,Ottawa,56,809:16:00,1,6,2,7,50,80,115,2,0.07,0.44,0.15,0.52,3.71,5.93,8.53,3.3,20,23.3,0,0
2013-2014,Patrick Wiercioch,Ottawa,53,670:16:00,1,10,4,11,59,86,140,1.69,0.09,0.9,0.36,0.98,5.28,7.7,12.53,3.6,35.7,39.3,0,0
2012-2013,Patrick Wiercioch,Ottawa,42,526:25:00,1,7,5,8,44,62,101,2.27,0.11,0.8,0.57,0.91,5.01,7.07,11.51,5.3,36.8,42.1,0,0
2010-2011,Patrick Wiercioch,Ottawa,8,99:43:00,0,1,0,1,3,10,14,0,0,0.6,0,0.6,1.81,6.02,8.42,0,12.5,12.5,0,0
2015-2016,Patrick Wiercioch,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrik Berglund,St. Louis,77,967:10:00,11,13,6,24,132,176,212,8.33,0.68,0.81,0.37,1.49,8.19,10.92,13.15,31.4,37.1,68.6,0,0
2013-2014,Patrik Berglund,St. Louis,78,963:29:00,11,14,5,25,118,153,201,9.32,0.69,0.87,0.31,1.56,7.35,9.53,12.52,27.5,35,62.5,0,0
2012-2013,Patrik Berglund,St. Louis,48,597:37:00,6,7,4,13,44,68,91,13.64,0.6,0.7,0.4,1.31,4.42,6.83,9.14,27.3,31.8,59.1,0,0
2011-2012,Patrik Berglund,St. Louis,82,1072:12:00,15,14,7,29,130,202,254,11.54,0.84,0.78,0.39,1.62,7.27,11.3,14.21,38.5,35.9,74.4,0,0
2010-2011,Patrik Berglund,St. Louis,81,1071:23:00,14,17,10,31,124,179,222,11.29,0.78,0.95,0.56,1.74,6.94,10.02,12.43,31.1,37.8,68.9,0,0
2015-2016,Patrik Berglund,St. Louis,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrik Elias,New Jersey,69,861:30:00,8,12,7,20,71,104,129,11.27,0.56,0.84,0.49,1.39,4.94,7.24,8.98,36.4,54.5,90.9,0,0
2013-2014,Patrik Elias,New Jersey,65,811:47:00,11,13,10,24,87,110,142,12.64,0.81,0.96,0.74,1.77,6.43,8.13,10.5,35.5,41.9,77.4,0,0
2012-2013,Patrik Elias,New Jersey,48,596:58:00,7,10,7,17,79,99,132,8.86,0.7,1.01,0.7,1.71,7.94,9.95,13.27,38.9,55.6,94.4,0,0
2011-2012,Patrik Elias,New Jersey,81,1105:08:00,14,27,17,41,114,149,189,12.28,0.76,1.47,0.92,2.23,6.19,8.09,10.26,28,54,82,0,0
2010-2011,Patrik Elias,New Jersey,81,1042:17:00,11,23,14,34,134,165,219,8.21,0.63,1.32,0.81,1.96,7.71,9.5,12.61,25.6,53.5,79.1,0,0
2015-2016,Patrik Elias,New Jersey,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Patrik Nemeth,Dallas,22,314:57:00,0,3,1,3,13,19,36,0,0,0.57,0.19,0.57,2.48,3.62,6.86,0,30,30,0,0
2013-2014,Patrik Nemeth,Dallas,8,99:31:00,0,0,0,0,3,4,4,0,0,0,0,0,1.81,2.41,2.41,0,0,0,0,0
2015-2016,Patrik Nemeth,Dallas,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Paul Bissonnette,Arizona,39,184:48:00,2,6,3,8,25,33,38,8,0.65,1.95,0.97,2.6,8.12,10.71,12.34,20,60,80,0,0
2012-2013,Paul Bissonnette,Arizona,28,151:37:00,0,6,3,6,13,20,23,0,0,2.37,1.19,2.37,5.14,7.91,9.1,0,66.7,66.7,0,0
2011-2012,Paul Bissonnette,Arizona,31,187:17:00,1,0,0,1,15,19,23,6.67,0.32,0,0,0.32,4.81,6.09,7.37,100,0,100,0,0
2010-2011,Paul Bissonnette,Arizona,48,250:06:00,1,0,0,1,18,24,38,5.56,0.24,0,0,0.24,4.32,5.76,9.12,12.5,0,12.5,0,0
2014-2015,Paul Byron,Calgary,57,676:42:00,5,10,4,15,46,61,85,10.87,0.44,0.89,0.35,1.33,4.08,5.41,7.54,22.7,45.5,68.2,0,0
2013-2014,Paul Byron,Calgary,47,557:41:00,4,7,5,11,36,56,77,11.11,0.43,0.75,0.54,1.18,3.87,6.02,8.28,21.1,36.8,57.9,0,0
2011-2012,Paul Byron,Calgary,22,220:27:00,2,2,1,4,12,15,20,16.67,0.54,0.54,0.27,1.09,3.27,4.08,5.44,33.3,33.3,66.7,0,0
2010-2011,Paul Byron,Buffalo,8,82:29:00,1,0,0,1,5,7,7,20,0.73,0,0,0.73,3.64,5.09,5.09,33.3,0,33.3,0,0
2015-2016,Paul Byron,Calgary,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Paul Carey,Colorado,10,78:02:00,0,1,1,1,5,11,14,0,0,0.77,0.77,0.77,3.84,8.46,10.76,0,33.3,33.3,0,0
2013-2014,Paul Carey,Colorado,12,73:06:00,0,0,0,0,5,7,9,0,0,0,0,0,4.1,5.75,7.39,0,0,0,0,0
2014-2015,Paul Gaustad,Nashville,73,707:17:00,4,9,4,13,52,71,99,7.69,0.34,0.76,0.34,1.1,4.41,6.02,8.4,20,45,65,0,0
2013-2014,Paul Gaustad,Nashville,75,811:39:00,5,10,7,15,61,75,95,8.2,0.37,0.74,0.52,1.11,4.51,5.54,7.02,25,50,75,0,0
2012-2013,Paul Gaustad,Nashville,23,269:48:00,1,3,1,4,30,36,45,3.33,0.22,0.67,0.22,0.89,6.67,8.01,10.01,20,60,80,0,0
2011-2012,Paul Gaustad,Nashville,70,810:41:00,7,10,7,17,69,97,118,10.14,0.52,0.74,0.52,1.26,5.11,7.18,8.73,28,40,68,0,0
2010-2011,Paul Gaustad,Buffalo,81,978:52:00,10,16,9,26,107,139,175,9.35,0.61,0.98,0.55,1.59,6.56,8.52,10.73,29.4,47.1,76.5,0,0
2015-2016,Paul Gaustad,Nashville,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Paul Mara,Montreal,53,766:53:00,1,3,0,4,38,56,74,2.63,0.08,0.23,0,0.31,2.97,4.38,5.79,4,12,16,0,0
2014-2015,Paul Martin,Pittsburgh,74,1276:39:00,3,15,9,18,44,81,126,6.82,0.14,0.7,0.42,0.85,2.07,3.81,5.92,5.7,28.3,34,0,0
2013-2014,Paul Martin,Pittsburgh,39,687:01:00,1,3,1,4,40,60,81,2.5,0.09,0.26,0.09,0.35,3.49,5.24,7.07,4.2,12.5,16.7,0,0
2012-2013,Paul Martin,Pittsburgh,34,616:32:00,5,8,4,13,28,44,71,17.86,0.49,0.78,0.39,1.27,2.72,4.28,6.91,15.2,24.2,39.4,0,0
2011-2012,Paul Martin,Pittsburgh,73,1269:11:00,2,14,6,16,74,100,156,2.7,0.09,0.66,0.28,0.76,3.5,4.73,7.37,3.4,23.7,27.1,0,0
2010-2011,Paul Martin,Pittsburgh,77,1245:52:00,0,10,3,10,67,97,134,0,0,0.48,0.14,0.48,3.23,4.67,6.45,0,21.3,21.3,0,0
2015-2016,Paul Martin,San Jose,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Paul Postma,Winnipeg,42,528:59:00,0,4,1,4,35,54,94,0,0,0.45,0.11,0.45,3.97,6.12,10.66,0,22.2,22.2,0,0
2013-2014,Paul Postma,Winnipeg,20,285:22:00,1,1,0,2,14,21,39,7.14,0.21,0.21,0,0.42,2.94,4.42,8.2,14.3,14.3,28.6,0,0
2012-2013,Paul Postma,Winnipeg,34,436:17:00,2,3,2,5,23,45,68,8.7,0.28,0.41,0.28,0.69,3.16,6.19,9.35,14.3,21.4,35.7,0,0
2015-2016,Paul Postma,Winnipeg,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Paul Ranger,Toronto,53,778:31:00,5,7,6,12,53,80,108,9.43,0.39,0.54,0.46,0.92,4.08,6.17,8.32,17.9,25,42.9,0,0
2014-2015,Paul Stastny,St. Louis,74,1004:05:00,7,19,13,26,100,144,168,7,0.42,1.14,0.78,1.55,5.98,8.6,10.04,16.7,45.2,61.9,0,0
2013-2014,Paul Stastny,Colorado,71,1028:08:00,17,20,13,37,120,158,190,14.17,0.99,1.17,0.76,2.16,7,9.22,11.09,33.3,39.2,72.5,0,0
2012-2013,Paul Stastny,Colorado,40,545:37:00,5,5,1,10,63,90,100,7.94,0.55,0.55,0.11,1.1,6.93,9.9,11,33.3,33.3,66.7,0,0
