Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2010-2011,Aaron Volpatti,Vancouver,15,97:17:00,1,1,1,2,6,7,11,16.67,0.62,0.62,0.62,1.23,3.7,4.32,6.78,50,50,100,0,0
2010-2011,Aaron Voros,Anaheim,12,66:19:00,0,0,0,0,8,9,10,0,0,0,0,0,7.24,8.14,9.05,0,0,0,0,0
2014-2015,Adam Burish,San Jose,20,187:28:00,1,2,2,3,20,26,33,5,0.32,0.64,0.64,0.96,6.4,8.32,10.56,33.3,66.7,100,0,0
2013-2014,Adam Burish,San Jose,15,124:48:00,0,0,0,0,9,16,18,0,0,0,0,0,4.33,7.69,8.65,0,0,0,0,0
2012-2013,Adam Burish,San Jose,46,418:08:00,0,2,1,2,37,55,70,0,0,0.29,0.14,0.29,5.31,7.89,10.04,0,50,50,0,0
2011-2012,Adam Burish,Dallas,65,686:07:00,5,11,7,16,74,102,125,6.76,0.44,0.96,0.61,1.4,6.47,8.92,10.93,23.8,52.4,76.2,0,0
2010-2011,Adam Burish,Dallas,63,743:39:00,7,6,3,13,82,111,130,8.54,0.56,0.48,0.24,1.05,6.62,8.96,10.49,30.4,26.1,56.5,0,0
2014-2015,Adam Clendening,Vancouver,21,292:29:00,0,1,0,1,14,23,37,0,0,0.21,0,0.21,2.87,4.72,7.59,0,6.7,6.7,0,0
2015-2016,Adam Clendening,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Adam Cracknell,Columbus,17,157:28:00,0,1,1,1,15,23,26,0,0,0.38,0.38,0.38,5.72,8.76,9.91,0,100,100,0,0
2013-2014,Adam Cracknell,St. Louis,19,150:51:00,0,2,1,2,16,23,28,0,0,0.8,0.4,0.8,6.36,9.15,11.14,0,33.3,33.3,0,0
2012-2013,Adam Cracknell,St. Louis,20,171:03:00,2,4,2,6,21,29,39,9.52,0.7,1.4,0.7,2.1,7.37,10.17,13.68,28.6,57.1,85.7,0,0
2010-2011,Adam Cracknell,St. Louis,24,206:28:00,3,4,3,7,23,35,44,13.04,0.87,1.16,0.87,2.03,6.68,10.17,12.79,30,40,70,0,0
2010-2011,Adam Foote,Colorado,47,679:22:00,0,7,2,7,21,27,38,0,0,0.62,0.18,0.62,1.85,2.38,3.36,0,29.2,29.2,0,0
2013-2014,Adam Hall,Philadelphia,80,536:27:00,2,4,2,6,48,64,82,4.17,0.22,0.45,0.22,0.67,5.37,7.16,9.17,16.7,33.3,50,0,0
2012-2013,Adam Hall,Philadelphia,37,308:05:00,0,3,2,3,30,42,47,0,0,0.58,0.39,0.58,5.84,8.18,9.15,0,50,50,0,0
2011-2012,Adam Hall,Tampa Bay,57,495:46:00,2,5,4,7,56,73,80,3.57,0.24,0.61,0.48,0.85,6.78,8.83,9.68,14.3,35.7,50,0,0
2010-2011,Adam Hall,Tampa Bay,82,938:03:00,7,8,6,15,156,205,232,4.49,0.45,0.51,0.38,0.96,9.98,13.11,14.84,30.4,34.8,65.2,0,0
2014-2015,Adam Henrique,New Jersey,75,987:57:00,10,13,7,23,102,127,177,9.8,0.61,0.79,0.43,1.4,6.19,7.71,10.75,29.4,38.2,67.6,0,0
2013-2014,Adam Henrique,New Jersey,77,995:03:00,15,8,4,23,92,124,156,16.3,0.9,0.48,0.24,1.39,5.55,7.48,9.41,44.1,23.5,67.6,0,0
2012-2013,Adam Henrique,New Jersey,42,543:50:00,5,3,3,8,52,75,91,9.62,0.55,0.33,0.33,0.88,5.74,8.27,10.04,31.2,18.8,50,0,0
2011-2012,Adam Henrique,New Jersey,74,1049:51:00,10,22,11,32,94,115,133,10.64,0.57,1.26,0.63,1.83,5.37,6.57,7.6,22.2,48.9,71.1,0,0
2015-2016,Adam Henrique,New Jersey,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Adam Larsson,New Jersey,64,1056:03:00,3,16,8,19,82,110,161,3.66,0.17,0.91,0.45,1.08,4.66,6.25,9.15,9.7,51.6,61.3,0,0
2013-2014,Adam Larsson,New Jersey,26,408:13:00,1,2,2,3,19,30,50,5.26,0.15,0.29,0.29,0.44,2.79,4.41,7.35,11.1,22.2,33.3,0,0
2012-2013,Adam Larsson,New Jersey,37,593:04:00,0,6,3,6,27,37,63,0,0,0.61,0.3,0.61,2.73,3.74,6.37,0,28.6,28.6,0,0
2011-2012,Adam Larsson,New Jersey,65,1151:20:00,2,8,5,10,56,75,118,3.57,0.1,0.42,0.26,0.52,2.92,3.91,6.15,4.8,19,23.8,0,0
